"ID","x","y"
"December Strongly Agree",1,-2
"December Agree",1,-1
"December Neither",1,0
"December Disagree",1,1
"December Strongly Disagree",1,2
"January Strongly Agree",4,-2
"January Agree",4,-1
"January Neither",4,0
"January Disagree",4,1
"January Strongly Disagree",4,2
